NO.,Storage Location,Lot_ID,Re-Code,Material,Material Description,Base Unit of Measure,Intake Vol (kg),Remain Vol (kg),Pkg Vol,Date of Manufacture,Expire Date,Batch prepare (KG.)
1,SPP,lot-2026-01-27-001,,1200000000000131,CMC Blanose 7HOF,KG,125,125,0,1/4/2025 ,1/4/2027 ,
2,SPP,lot-2026-01-27-002,,1200000000000131,CMC Blanose 7HOF,KG,300,300,0,27/4/2025 ,27/4/2027 ,
3,SPP,lot-2026-01-27-003,,1200000000000132,Trisodium Citrate,KG,225,225,0,24/9/2025 ,23/9/2028 ,
4,SPP,lot-2026-01-27-004,,1200000041000029,"Potassium Sorbate, 25 kgs/bag.",KG,950,950,0,8/12/2025 ,7/12/2027 ,
5,SPP,lot-2026-01-27-005,,1200000041000032,Potasium Chloride (KCl),KG,350,350,0,3/4/2025 ,3/4/2030 ,
6,SPP,lot-2026-01-27-006,,1200000041000032,Potasium Chloride (KCl),KG,1500,1500,0,27/6/2025 ,27/6/2030 ,
7,SPP,lot-2026-01-27-007,,1200000041000033,"Malic Acid, 25 kgs/bag.",KG,250,250,0,29/8/2025 ,28/8/2030 ,
8,SPP,lot-2026-01-27-008,,1200000041000034,Magnesium Lactate (PURAMEX MG)25 kg/bag.,KG,153.32,153.32,0,6/3/2022 ,5/3/2027 ,
9,SPP,lot-2026-01-27-009,,1200000041000035,"Sodium Benzoate, 25 kgs/bag",KG,275,275,0,4/8/2025 ,3/8/2027 ,
10,SPP,lot-2026-01-27-010,,1216180740000001,SPORIX,KG,88.762,88.762,0,28/5/2025 ,27/5/2027 ,
11,SPP,lot-2026-01-27-011,,1216180740000002,CPK Keltrol,KG,21.226,21.226,0,27/4/2025 ,25/4/2028 ,
12,SPP,lot-2026-01-27-012,,1216180740000003,Kelcogel (Gellan Gum),KG,15.34,15.34,0,30/8/2024 ,29/8/2026 ,
13,SPP,lot-2026-01-27-013,,1216450240000112,Lumur Vanilla Extrack 2X,KG,50,50,0,5/11/2024 ,5/11/2029 ,
14,SPP,lot-2026-01-27-014,,1216450240000112,Lumur Vanilla Extrack 2X,KG,25,25,0,27/3/2025 ,27/3/2030 ,
15,FH,lot-2026-01-27-015,,1216450240000118,Signature Cream F10T384,KG,25,25,0,18/8/2025 ,18/8/2026 ,5.4
16,FH,lot-2026-01-27-016,,1216450240000118,Signature Cream F10T384,KG,5.022,5.022,0,8/5/2026 ,8/5/2026 ,5.4
17,FH,lot-2026-01-27-017,,1216450240000124,White choc. E_22020877,KG,25,25,0,7/10/2025 ,7/10/2026 ,5.4
18,SPP,lot-2026-01-27-018,,1216450240000126,Clear Peach Juice Concentrate 8357,KG,346.966,346.966,0,29/12/2024 ,29/12/2026 ,
19,SPP,lot-2026-01-27-019,,1216450240000126,Clear Peach Juice Concentrate 8357,KG,25,25,0,13/6/2024 ,13/6/2026 ,
20,SPP,lot-2026-01-27-020,,1216450240000129,SIMPLISTICA SY 4210,KG,230,230,0,5/7/2024 ,5/7/2026 ,
21,SPP,lot-2026-01-27-021,,1216450240000129,SIMPLISTICA SY 4210,KG,125,125,0,12/9/2024 ,12/9/2026 ,
22,SPP,lot-2026-01-27-022,,1216450240000131,Clear Kiwi Juice Concentrate,KG,126.422,126.422,0,23/10/2024 ,22/10/2026 ,
23,SPP,lot-2026-01-27-023,,1216450240000140,Erythritol (Baolingbao) 25kg/bag,KG,54.954,54.954,0,16/10/2025 ,15/10/2028 ,
24,SPP,lot-2026-01-27-024,,1216450240000146,"Steviol Glycosides Crest, 20 kg/Box",KG,15.028,15.028,0,18/11/2025 ,17/11/2028 ,
25,SPP,lot-2026-01-27-025,,1216450241000077,NFC Yuzu – DKSH,KG,453.25,453.25,0,4/11/2025 ,4/11/2026 ,
26,SPP,lot-2026-01-27-026,,1216450241000078,YUZU ARTE P 801300,KG,1.348,1.348,0,3/1/2025 ,3/1/2027 ,
27,SPP,lot-2026-01-27-027,,1216450241000078,YUZU ARTE P 801300,KG,200,200,0,10/9/2025 ,10/9/2027 ,
28,SPP,lot-2026-01-27-028,,1216450241000078,YUZU ARTE P 801300,KG,60,60,0,3/1/2025 ,3/1/2027 ,
29,FH,lot-2026-01-27-029,,1216450241000079,T.Hasegawa Yuzu THT-893,KG,50,50,0,19/9/2025 ,18/9/2026 ,5.4
30,FH,lot-2026-01-27-030,,1216450241000079,T.Hasegawa Yuzu THT-893,KG,50,50,0,29/8/2025 ,28/8/2026 ,5.4
31,FH,lot-2026-01-27-031,,1216450241000079,T.Hasegawa Yuzu THT-893,KG,20.76,20.76,0,19/6/2025 ,18/6/2026 ,5.4
32,FH,lot-2026-01-27-032,,1216450241000096,Rose Hip Flavor 957792,KG,,,0,9/1/2025 ,4/4/2026 ,5.4
33,FH,lot-2026-01-27-033,,1216450241000097,Rose Flavor RP2211252,KG,,,0,14/8/2024 ,14/8/2025 ,5.4
34,FH,lot-2026-01-27-034,,1216450241000099,Caramel Flavor 963198,KG,19.54,19.54,0,8/4/2025 ,6/10/2026 ,5.4
35,FH,lot-2026-01-27-035,,1216450241000100,J - forte Rose Flavor FT2018,KG,36.507,36.507,0,4/9/2024 ,3/7/2026 ,5.4
36,FH,lot-2026-01-27-036,,1216450241000101,Elderflower Flavor 52788,KG,19.734,19.734,0,15/1/2025 ,15/1/2026 ,5.4
37,FH,lot-2026-01-27-037,,1216450241000102,Elderflower Flavor 7.65165,KG,23.582,23.582,0,5/2/2025 ,5/2/2026 ,5.4
38,FH,lot-2026-01-27-038,,1216450241000103,Elderflower Flavor TF66263,KG,19.924,19.924,0,11/1/2025 ,11/1/2026 ,5.4
39,FH,lot-2026-01-27-039,,1216450241000103,Elderflower Flavor TF66263,KG,24.234,24.234,0,27/6/2025 ,27/6/2027 ,5.4
40,FH,lot-2026-01-27-040,,1216450241000105,Vanilla Flavor 65024,KG,24.902,24.902,0,3/6/2025 ,3/6/2026 ,5.4
41,FH,lot-2026-01-27-041,,1216450241000105,Vanilla Flavor 65024,KG,13.694,13.694,0,6/1/2025 ,6/1/2026 ,5.4
42,FH,lot-2026-01-27-042,,1216450241000106,Natural Grenadine Flavor T10116600,KG,22.642,22.642,0,8/9/2025 ,5/6/2026 ,5.4
43,FH,lot-2026-01-27-043,,1216450241000107,Natural Pomegranate Flavor 001772,KG,19.454,19.454,0,7/1/2025 ,7/1/2026 ,5.4
44,FH,lot-2026-01-27-044,,1216450241000107,Natural Pomegranate Flavor 001772,KG,14.746,14.746,0,13/3/2025 ,13/3/2026 ,5.4
45,FH,lot-2026-01-27-045,,1216450241000111,Raspberry Flavor GWFC10782,KG,11.21,11.21,0,24/12/2024 ,24/12/2027 ,5.4
46,FH,lot-2026-01-27-046,,1216450241000114,Hazelnut Flavour TF00622,KG,25,25,0,16/12/2025 ,16/12/2026 ,5.4
47,FH,lot-2026-01-27-047,,1216450241000115,Apple Flavor TF74467,KG,25,25,0,12/12/2025 ,12/12/2026 ,5.4
